2300541,6051,2x0,-1,27,XpG,8647,BouLy,8158,PetitSkel,8648,Dewid,8032,YOUYOU,9644,ZELIN,9001,ScRm,8281,zlynx,8999,BLOODZ,10110,KILLDREAM,5792,9644,0
2300545,6448,2x0,-1,-1,Bubzkji,9612,haste,3545,JUGi,8783,Maziaz,8808,niko,10264,derciak,10851,shhhack,10852,EMENK,10853,fender,8133,kalinka,9410,8783,0
2300549,6671,2x0,-1,-1,zEptonL,8862,sycrone,9295,mertz,9895,granzales,8421,xanzir,5300,Dimaoneshot,8125,DavCost,8124,tonyblack,1950,S0tF1k,9081,arch,8410,5300,0
2300540,6662,2x1,-1,-1,BERRY,921,holzt,7828,larsen,7965,socN,7401,mupzG,7590,def,9350,AiyvaN,9349,smike,8526,crush,9348,novel,10604,8526,0
2300537,5195,2x1,-1,-1,am0,8417,ayken,8416,r0bs3n,7232,xall,2326,syken,8000,crisby,1064,keev,5799,kzy,3517,stfN,8800,tiziaN,5796,,0
2300538,6248,2x0,24,19,Machinegun,9247,Menace,9735,ncl,9736,Zilkenberg,8622,Tsogoo,9245,jks,4679,AZR,8082,SPUNJ,8085,yam,2555,Havoc,8083,9247,1
2300527,5310,2x1,21,18,ANGE1,339,oskar,798,kUcheR,302,STYKO,6904,Zero,8413,spyleadeR,3183,bubble,2799,nkl,5327,v1c7oR,7834,dream3r,8412,798,1
2300532,6637,2x0,11,7,Ex6TenZ,7166,shox,1225,SmithZz,7170,ScreaM,7390,RpK,7169,GeT_RiGhT,39,Xizt,884,f0rest,29,friberg,7148,pyth,7527,7170,2
2300529,6683,2x0,-1,-1,derciak,10851,shhhack,10852,EMENK,10853,fender,8133,kalinka,9410,Twista,1964,sAw,7821,ZOREE,8576,xseveN,7248,SAGGERTON,7529,8133,0
2300525,6226,2x1,18,26,spyleadeR,3183,bubble,2799,nkl,5327,v1c7oR,7834,pNshr,1278,flashie,5440,BARBARR,44,tabu,7969,maeVe,8150,DeadFox,8716,2799,1
2300531,5422,2x0,9,10,k0nfig,9078,MSL,7156,TENZKI,5287,RUBINO,1485,Kjaerbye,8394,chrisJ,2730,nex,7256,NiKo,3741,Spiidi,7499,denis,7511,1485,3
2300528,6448,2x0,-1,-1,Bubzkji,9612,haste,3545,JUGi,8783,Maziaz,8808,niko,10264,XpG,8647,BouLy,8158,PetitSkel,8648,Dewid,8032,YOUYOU,9644,8783,0
2300526,5310,2x1,21,23,ANGE1,339,oskar,798,kUcheR,302,STYKO,6904,Zero,8413,kRYSTAL,7218,tahsiN,2148,tabseN,5794,Davidp,8138,mikeS,7673,798,1
2300535,6211,2x0,19,25,jks,4679,AZR,8082,SPUNJ,8085,yam,2555,Havoc,8083,tb,839,Savage,180,zhokiNg,8601,advent,8600,aumaN,8604,8085,1
2300534,6248,2x1,24,27,Machinegun,9247,Menace,9735,ncl,9736,Zilkenberg,8622,Tsogoo,9245,Lightstep,8765,BURNRUOk,9636,topguN,8086,zewsy,8764,dexter,9115,9247,1
2300522,6675,2x0,26,28,flashie,5440,BARBARR,44,tabu,7969,maeVe,8150,DeadFox,8716,zende,5045,berg,7442,cype,7445,dumz,7958,BENDJI,8396,44,1
2300536,4445,2x0,-1,-1,Immi,8981,Puls3,7296,esio,9269,MiGHTYMAX,8983,CRUC1AL,7996,Barcode,9011,FoDa,4282,gabesson,7925,NEY,3154, koloRRR,,7996,0
2300524,5195,2x1,-1,-1,am0,8417,ayken,8416,r0bs3n,7232,xall,2326,syken,8000,SIXER,147,MAJ3R,150,fxy0,7708,HaRts,156,fisheR,8424,7708,0
2300521,5310,2x1,21,26,ANGE1,339,oskar,798,kUcheR,302,STYKO,6904,Zero,8413,flashie,5440,BARBARR,44,tabu,7969,maeVe,8150,DeadFox,8716,8413,1
2300523,4501,2x0,-1,-1,crisby,1064,keev,5799,kzy,3517,stfN,8800,tiziaN,5796,nexa,9618,emi,2476,LETN1,4216,DJOXiC,3543,axeler4,3408,5799,0
2300508,5395,2x1,23,31,kRYSTAL,7218,tahsiN,2148,tabseN,5794,Davidp,8138,mikeS,7673,draken,9255,REZ,9278,mOkEn,10564,rezex,9030,zehN,1378,9255,0
2300515,6132,2x0,-1,-1,waterfaLLZ,8727,jmqa,8368,facecrack,8726,spaze,8345,ub1que,7405,alex,8371,MusambaN1,330,SOKER,7388,donQ,373,arki,356,8345,0
2300519,6637,2x1,11,-1,Ex6TenZ,7166,shox,1225,SmithZz,7170,ScreaM,7390,RpK,7169,DESPE,7980,ONLY,7137,TuGuX,7321,XANTARES,7938,ngiN,9857,7390,1
2300492,6669,2x1,-1,-1,It's my,8293,balblna,8294,uNdo,7943,FANAT ROCKA,9008,dERZKIY,7942,CyberFocus,8255,electroNic,8918,fix,8612,spaz,1868,spiker,7797,9008,0
2300507,6226,2x0,18,23,spyleadeR,3183,bubble,2799,nkl,5327,v1c7oR,7834,pNshr,1278,kRYSTAL,7218,tahsiN,2148,tabseN,5794,Davidp,8138,mikeS,7673,1278,1
